,Unnamed: 0,Kommune,Bundesland,Haushalte mit niedrigem Einkommen (%),GKZ,Allgemeine Deckungsmittel (Euro je Einwohner:in),ARS,Anteil ab 65-Jährige (%),Langzeitarbeitslosenquote (%),Verschuldung im Kernhaushalt (Euro je Einwohner:in),Verwaltungstyp,socioeconomic_vulnerability_index,ags,starkregentage_jetzt,starkregentage_zukunft,trockentage_jetzt,trockentage_zukunft,tropennächte_jetzt,tropennächte_zukunft,heiße_tage_jetzt,heiße_tage_zukunft,schwüle_tage_jetzt,schwüle_tage_zukunft,climate_vulnerability_index
350,350,Krefeld,Nordrhein-Westfalen,47.2,5114000,2.246,51140000000,22.2,7.1,2.679,kreisfreie Stadt,2.804701456950209,5114000,2.9,0.9,59.4,2.9,0.5,2.1,6.6,3.9,6.2,12.2,2.668011582444072
351,351,Landau in der Pfalz,Rheinland-Pfalz,40.9,7313000,1.899,73130000000,20.1,3.2,907.0,kreisfreie Stadt,3.1917295791293725,7313000,5.0,0.8,62.3,2.8,0.3,2.6,6.9,6.7,6.4,13.5,3.0979830462919797
352,352,Landshut,Bayern,40.4,9261000,2.143,92610000000,20.7,1.6,2.198,kreisfreie Stadt,2.0566769535558445,9261000,5.1,1.1,56.4,2.1,0.0,1.1,5.3,5.5,3.0,14.8,2.7070834330733797
353,353,Leipzig,Sachsen,56.6,14713000,2.159,147130000000,20.1,3.1,773.0,kreisfreie Stadt,3.267392495348953,14713000,2.5,0.8,62.8,1.1,0.2,2.2,7.5,5.0,4.6,11.5,2.300339851082862
354,354,Leverkusen,Nordrhein-Westfalen,42.6,5316000,2.359,53160000000,21.8,4.1,2.529,kreisfreie Stadt,2.357776704857925,5316000,5.4,1.2,57.1,2.8,0.5,2.5,6.0,3.9,5.2,11.9,2.8352110709351206
355,355,L�beck,Schleswig-Holstein,50.1,1003000,2.33,10030000000,23.5,4.3,2.245,kreisfreie Stadt,2.56885316701086,1003000,2.4,0.7,60.3,1.7,0.1,0.7,2.1,1.5,3.5,9.1,1.5604450925797604
356,356,Ludwigshafen am Rhein,Rheinland-Pfalz,44.9,7314000,2.242,73140000000,19.0,4.8,7.081,kreisfreie Stadt,2.421101419438948,7314000,2.5,0.8,62.2,2.1,0.6,5.1,11.5,8.7,8.5,14.4,3.7049689440993787
357,357,Magdeburg,Sachsen-Anhalt,54.8,15003000,1.793,150030000000,24.8,3.8,1.099,kreisfreie Stadt,2.748122512639206,15003000,1.8,0.8,64.8,1.5,0.1,1.7,7.0,4.0,3.6,10.7,2.134977154280003
358,358,Mainz,Rheinland-Pfalz,46.3,7315000,4.73,73150000000,18.0,2.8,4.238,kreisfreie Stadt,1.6673207615970778,7315000,2.3,0.8,63.3,2.6,0.4,3.1,9.5,6.6,5.8,11.7,3.0297661043427864
359,359,Mannheim,Baden-W�rttemberg,48.6,8222000,2.895,82220000000,18.3,3.9,1.709,kreisfreie Stadt,2.223178098771511,8222000,4.8,1.2,60.0,2.6,0.5,4.0,9.0,7.7,6.7,13.6,3.619681755760775
